"cancer","endpoint","score","n","events","HR_per_SD","CI_low","CI_high","p_cox","padj_by_endpoint_score"
"LIHC","DSS","MDR_injury",411,99,1.42867964284787,1.16580707625475,1.750826155941,0.000584479475529959,0.00642927423082955
"KIRC","PFI","MDR_injury",928,298,1.23156591938489,1.08906871581305,1.39270790884671,0.000900303682072626,0.00870293559336872
"UVM","DSS","MDR_apc_ifn",79,20,1.8886746298105,1.28622332872998,2.77330676377326,0.00117797736270069,0.0129577509897076
"GBM","DSS","MDR_injury",145,110,1.44381803398763,1.1552570721689,1.80445596524609,0.00124393314250845,0.00912217637839533
"GBM","OS","MDR_injury",158,125,1.39425633732765,1.13686863966556,1.70991675410288,0.0014133593347789,0.00738967536705637
"UVM","OS","MDR_injury",79,22,2.08663045076918,1.32360412297304,3.28952332688214,0.00153951570147008,0.00738967536705637
"LGG","OS","MDR_axis",516,128,1.31830944950882,1.11101502859909,1.56428109424915,0.00154521868453658,0.0102237978590195
"PAAD","OS","MDR_axis",182,95,1.34792599242403,1.11857456816212,1.62430340610871,0.00170396630983659,0.0102237978590195
"LIHC","DSS","MDR_axis",411,99,1.33523829556151,1.11445003188164,1.59976782711721,0.00171862351996869,0.00999343638087044
"LGG","DSS","MDR_axis",508,115,1.3308140228164,1.11202150070805,1.5926544245746,0.00181698843288554,0.00999343638087044
"LUAD","PFI","MDR_axis",621,269,1.19439877888689,1.06360676372706,1.34127432398746,0.00268134667681999,0.0186122422870974
"UVM","DSS","MDR_injury",79,20,2.06646460549235,1.28229614165265,3.33017922072904,0.00287063897773444,0.0112672679112754
"PRAD","PFI","MDR_axis",563,95,0.733095727538435,0.597577611752353,0.899346520294049,0.00290841195513972,0.0186122422870974
"PAAD","OS","MDR_injury",182,95,1.41549512905259,1.12492720849064,1.78111654269608,0.00303516650569268,0.0121406660227707
"PAAD","DSS","MDR_injury",176,74,1.50534170336991,1.14824812612175,1.97348777877678,0.00307093359030419,0.0112672679112754
