"cancer","endpoint","score","n","events","p_logrank","HR_high_vs_low","CI_low","CI_high","file"
"LUAD","DFI","MDR_axis",374,112,0.0892310538127509,1.37887994829187,0.94981910985503,2.0017600110105,"KM_TCGA_LUAD_DFI_MDR_axis_median.pdf"
"BLCA","OS","MDR_resolution",429,192,0.104088392295885,1.2667347820336,0.951443408730379,1.68650809211548,"KM_TCGA_BLCA_OS_MDR_resolution_median.pdf"
"BLCA","DFI","MDR_apc_ifn",192,31,0.115382182876376,0.566930572334607,0.277116534644163,1.15983795142487,"KM_TCGA_BLCA_DFI_MDR_apc_ifn_median.pdf"
"PRAD","PFI","MDR_axis",563,95,0.125406186485384,0.728091898532713,0.484389266478086,1.0944045407186,"KM_TCGA_PRAD_PFI_MDR_axis_median.pdf"
"UVM","PFI","MDR_injury",78,28,0.13796804779664,1.80967501239797,0.816939181935154,4.00877289633728,"KM_TCGA_UVM_PFI_MDR_injury_median.pdf"
"PAAD","OS","MDR_injury",182,95,0.140019965067871,1.35731658835606,0.903807299176797,2.03838619438519,"KM_TCGA_PAAD_OS_MDR_injury_median.pdf"
"UVM","DSS","MDR_injury",79,20,0.142938693529485,1.96437751194109,0.782524683614691,4.93119142465275,"KM_TCGA_UVM_DSS_MDR_injury_median.pdf"
"LUSC","OS","MDR_resolution",608,278,0.147883575093879,1.18897613150876,0.938370300548922,1.50650999980559,"KM_TCGA_LUSC_OS_MDR_resolution_median.pdf"
"UVM","OS","MDR_injury",79,22,0.150816692230747,1.87376701133931,0.784519252398313,4.47535583358871,"KM_TCGA_UVM_OS_MDR_injury_median.pdf"
"ACC","PFI","MDR_axis",77,40,0.159593006748282,1.56044974303447,0.834842032019816,2.9167235322892,"KM_TCGA_ACC_PFI_MDR_axis_median.pdf"
"OV","PFI","MDR_apc_ifn",425,309,0.161364268099548,0.852566426035856,0.681950097595381,1.06586906192486,"KM_TCGA_OV_PFI_MDR_apc_ifn_median.pdf"
"STAD","OS","MDR_injury",436,176,0.162012439871366,1.23674522163427,0.917962561906716,1.66623216099159,"KM_TCGA_STAD_OS_MDR_injury_median.pdf"
"MESO","OS","MDR_apc_ifn",85,73,0.166040402028894,0.716424375474486,0.445901327491096,1.1510705488632,"KM_TCGA_MESO_OS_MDR_apc_ifn_median.pdf"
"CESC","DSS","MDR_apc_ifn",292,56,0.170882075369519,0.693832000671145,0.41002373821146,1.17408530358565,"KM_TCGA_CESC_DSS_MDR_apc_ifn_median.pdf"
"CESC","DSS","MDR_injury",292,56,0.172481349864938,1.44623455209822,0.84884304420494,2.46405315324439,"KM_TCGA_CESC_DSS_MDR_injury_median.pdf"
"ACC","DSS","MDR_axis",75,25,0.173113514144912,1.73300354557182,0.777600135072159,3.86226950524619,"KM_TCGA_ACC_DSS_MDR_axis_median.pdf"
"ACC","OS","MDR_axis",77,27,0.180656215860031,1.68069869412969,0.779001418623822,3.6261141930132,"KM_TCGA_ACC_OS_MDR_axis_median.pdf"
"SKCM","OS","MDR_apc_ifn",103,30,0.184345715218123,0.619444472994192,0.300068282283211,1.27874713116429,"KM_TCGA_SKCM_OS_MDR_apc_ifn_median.pdf"
"CESC","OS","MDR_apc_ifn",296,73,0.211041075885789,0.74616220100357,0.470854248511478,1.18244240540801,"KM_TCGA_CESC_OS_MDR_apc_ifn_median.pdf"
"COAD","DSS","MDR_injury",317,42,0.22840522047018,1.46439082770053,0.792117890459678,2.70722391462336,"KM_TCGA_COAD_DSS_MDR_injury_median.pdf"
"THCA","DFI","MDR_axis",404,31,0.242775948981417,1.53305343542772,0.744027527863004,3.15882510775795,"KM_TCGA_THCA_DFI_MDR_axis_median.pdf"
"STAD","OS","MDR_resolution",436,176,0.248940365373971,1.1919753733342,0.884823310231519,1.60575029410498,"KM_TCGA_STAD_OS_MDR_resolution_median.pdf"
"LGG","OS","MDR_resolution",516,128,0.273698044655542,1.21417733653397,0.855508708755201,1.72321636175718,"KM_TCGA_LGG_OS_MDR_resolution_median.pdf"
"LUAD","PFI","MDR_apc_ifn",621,269,0.274854561177523,0.874923443265262,0.687852189411925,1.11287140370898,"KM_TCGA_LUAD_PFI_MDR_apc_ifn_median.pdf"
"KIRC","PFI","MDR_injury",928,298,0.279629462107687,1.1345084168186,0.903533181189021,1.42452914251411,"KM_TCGA_KIRC_PFI_MDR_injury_median.pdf"
"LGG","DSS","MDR_resolution",508,115,0.283254332250121,1.22217104580229,0.844478442897544,1.7687864950967,"KM_TCGA_LGG_DSS_MDR_resolution_median.pdf"
"LIHC","DFI","MDR_apc_ifn",358,167,0.29009565746236,0.849378756481233,0.626336649441309,1.15184744913958,"KM_TCGA_LIHC_DFI_MDR_apc_ifn_median.pdf"
"LUSC","OS","MDR_injury",608,278,0.300537114121149,1.1327040339726,0.893098370353497,1.43659250891923,"KM_TCGA_LUSC_OS_MDR_injury_median.pdf"
"PRAD","DFI","MDR_axis",395,32,0.319194036243007,0.700043880832989,0.345463957820768,1.41856024050406,"KM_TCGA_PRAD_DFI_MDR_axis_median.pdf"
"KIRC","DSS","MDR_apc_ifn",912,208,0.328829938212285,0.872949020780699,0.664977498904418,1.14596357641797,"KM_TCGA_KIRC_DSS_MDR_apc_ifn_median.pdf"
"COAD","DSS","MDR_resolution",317,42,0.329594610077049,1.36219827680291,0.739064819727169,2.51071908146004,"KM_TCGA_COAD_DSS_MDR_resolution_median.pdf"
"LGG","PFI","MDR_resolution",516,201,0.345636829821918,1.14572847448135,0.867980947987934,1.51235316890343,"KM_TCGA_LGG_PFI_MDR_resolution_median.pdf"
"HNSC","DFI","MDR_resolution",135,29,0.354522806879643,1.41201140183694,0.671979492007017,2.96701941448043,"KM_TCGA_HNSC_DFI_MDR_resolution_median.pdf"
"PAAD","DFI","MDR_apc_ifn",72,24,0.36986797806992,1.46815928479256,0.628519649616148,3.42947382287733,"KM_TCGA_PAAD_DFI_MDR_apc_ifn_median.pdf"
"LIHC","PFI","MDR_apc_ifn",423,212,0.427835769096635,0.897133536233223,0.684715192734523,1.17545015851048,"KM_TCGA_LIHC_PFI_MDR_apc_ifn_median.pdf"
"LIHC","DFI","MDR_axis",358,167,0.431542501856054,1.12933434789387,0.832904882636783,1.53126256781599,"KM_TCGA_LIHC_DFI_MDR_axis_median.pdf"
"BLCA","OS","MDR_injury",429,192,0.445542559242496,1.11732076016581,0.839578864586785,1.48694272063642,"KM_TCGA_BLCA_OS_MDR_injury_median.pdf"
"THCA","OS","MDR_apc_ifn",576,20,0.522502498412917,0.746555915503376,0.304864629872469,1.82817447601656,"KM_TCGA_THCA_OS_MDR_apc_ifn_median.pdf"
"PAAD","DSS","MDR_apc_ifn",176,74,0.589452078380273,1.134317531532,0.717439361446804,1.79342858990354,"KM_TCGA_PAAD_DSS_MDR_apc_ifn_median.pdf"
"KIRC","DSS","MDR_resolution",912,208,0.632229010279997,0.935664873601196,0.712636517816325,1.22849269410691,"KM_TCGA_KIRC_DSS_MDR_resolution_median.pdf"
"PAAD","OS","MDR_apc_ifn",182,95,0.685029872311762,1.08734798557015,0.724946491621844,1.63091435766296,"KM_TCGA_PAAD_OS_MDR_apc_ifn_median.pdf"
"BLCA","DSS","MDR_injury",412,129,0.724053216066741,1.06445741671497,0.75190890985168,1.50692401320661,"KM_TCGA_BLCA_DSS_MDR_injury_median.pdf"
"COAD","PFI","MDR_injury",331,101,0.736971477718373,1.0713815993192,0.724937752867049,1.58338909350509,"KM_TCGA_COAD_PFI_MDR_injury_median.pdf"
"CESC","PFI","MDR_injury",296,73,0.756440642188921,1.07562797301711,0.679493219144874,1.70270357928358,"KM_TCGA_CESC_PFI_MDR_injury_median.pdf"
"KIRC","OS","MDR_resolution",932,333,0.819450055370664,1.02539753666989,0.826974220352937,1.27143033281006,"KM_TCGA_KIRC_OS_MDR_resolution_median.pdf"
"KICH","PFI","MDR_resolution",89,15,0.904909501751663,0.941572386037397,0.341060749834657,2.59941537857391,"KM_TCGA_KICH_PFI_MDR_resolution_median.pdf"
"ACC","DSS","MDR_injury",75,25,0.932950753027715,0.966910895845728,0.440904259109996,2.12045282209884,"KM_TCGA_ACC_DSS_MDR_injury_median.pdf"
"ACC","OS","MDR_injury",77,27,0.984457564285406,0.992555543738099,0.466283162322811,2.11280738188697,"KM_TCGA_ACC_OS_MDR_injury_median.pdf"
